Date,Description,Debit,Credit,Balance,Reference
2026-03-01,Opening Balance,,,15420.50,
2026-03-02,Invoice Payment - Acme Corp,,2500.00,17920.50,INV-2026-001
2026-03-03,Stripe Payout - February Sales,,4830.75,22751.25,po_3N8xK2
2026-03-04,Office Supplies - Staples,187.32,,22563.93,TXN-44821
2026-03-05,AWS Monthly - Cloud Hosting,349.99,,22213.94,aws-inv-8812
2026-03-06,Payroll - March 1st,8750.00,,13463.94,PAY-2026-03A
2026-03-07,Invoice Payment - Widget Co,,1200.00,14663.94,INV-2026-003
2026-03-08,Google Workspace,72.00,,14591.94,GWS-20260308
2026-03-10,Client Deposit - Johnson LLC,,5000.00,19591.94,DEP-0042
2026-03-11,Rent Payment - 123 Main St,3200.00,,16391.94,RENT-MAR26
2026-03-12,Insurance Premium - Quarterly,1450.00,,14941.94,INS-Q1-2026
2026-03-13,Invoice Payment - DataFlow Inc,,3750.00,18691.94,INV-2026-005
